     2021219883	           李白	             32	              M	       诗人情怀	            900	            900	            900	            900	
     2029873412	           王勃	             18	              M	       天才诗人	            800	            800	            800	            800	
     2012342133	         花木兰	             20	              W	       战场大佬	            123	            156	            456	            452	
     1257612443	       马尔克斯	             60	              M	       百年孤独	            123	          21.31	          456.2	            451	
     2021218149	            wos	             18	              M	         计算机	            120	            120	            120	            120	
     2021217147	           列兵	             18	              M	计算机科学与技术	            110	            110	            110	            110	
     1241251233	           余华	             34	              M	   许三观卖血记	            100	            100	            100	            100	
     2021218148	           贺洋	             18	              M	计算机科学与技术	            100	            100	            100	            100	
     2012181889	           张飞	             23	              M	       城市建筑	             90	             80	             70	             60	
     1248239752	            wfm	             19	              W	       土木工程	             10	             10	             10	             10	
